Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Total,Total,0,5,yes,.Under 5 years,19576683,19576683,14055084,2958158,1015050,314226,58224,1175941
Total,Total,Total,5,5,yes,.5 to 9 years,20195895,20195895,14517665,3052301,1073210,324280,57611,1170828
Total,Total,Total,10,5,yes,.10 to 14 years,20798268,20798268,15042505,3139599,1112902,334255,62226,1106781
Total,Total,Total,15,5,yes,.15 to 19 years,21054570,21054570,15423765,3148586,1158417,324659,58967,940176
Total,Total,Total,20,5,yes,.20 to 24 years,21632940,21632940,15808772,3298857,1304858,323190,59737,837526
Total,Total,Total,25,5,yes,.25 to 29 years,23509016,23509016,16985565,3746444,1625556,347160,69451,734840
Total,Total,Total,30,5,yes,.30 to 34 years,22431305,22431305,16505500,3261920,1708800,315020,70958,569107
Total,Total,Total,35,5,yes,.35 to 39 years,21737521,21737521,16227122,3003920,1645590,297489,67963,495437
Total,Total,Total,40,5,yes,.40 to 44 years,19921623,19921623,14976853,2726255,1486103,265892,56351,410169
Total,Total,Total,45,5,yes,.45 to 49 years,20397751,20397751,15561807,2728136,1447456,255123,50068,355161
Total,Total,Total,50,5,yes,.50 to 54 years,20477151,20477151,15976783,2678510,1231402,240652,46052,303752
Total,Total,Total,55,5,yes,.55 to 59 years,21877391,21877391,17427196,2733691,1143030,239133,43100,291241
Total,Total,Total,60,5,yes,.60 to 64 years,20571146,20571146,16625865,2436184,1023018,203338,35298,247443
Total,Total,Total,65,5,yes,.65 to 69 years,17455001,17455001,14346276,1883334,862595,151885,26516,184395
Total,Total,Total,70,5,yes,.70 to 74 years,14028432,14028432,11781647,1332938,653253,108322,19285,132987
Total,Total,Total,75,5,yes,.75 to 79 years,9652665,9652665,8195014,861902,432416,67275,11490,84568
Total,Total,Total,80,5,yes,.80 to 84 years,6317207,6317207,5374916,555231,287130,40812,7135,51983
Total,Total,Total,85,,yes,.85 years and over,6604958,6604958,5689855,529120,294076,35381,6505,50021
Total,Total,Total,0,18,,.Under 18 years,73039150,73039150,52758293,10992017,3881610,1166260,213422,4027548
Total,Total,Total,0,5,,..Under 5 years,19576683,19576683,14055084,2958158,1015050,314226,58224,1175941
Total,Total,Total,5,9,,..5 to 13 years,36829704,36829704,26523012,5576016,1960182,591848,107476,2071170
Total,Total,Total,14,4,,..14 to 17 years,16632763,16632763,12180197,2457843,906378,260186,47722,780437
Total,Total,Total,18,47,,.18 to 64 years,201142110,201142110,152376189,27920544,13093782,2618157,522584,4610854
Total,Total,Total,18,7,,..18 to 24 years,30219206,30219206,22089498,4605484,1782827,454350,83343,1203704
Total,Total,Total,25,20,,..25 to 44 years,87599465,87599465,64695040,12738539,6466049,1225561,264723,2209553
Total,Total,Total,45,20,,..45 to 64 years,83323439,83323439,65591651,10576521,4844906,938246,174518,1197597
Total,Total,Total,65,,,.65 years and over,54058263,54058263,45387708,5162525,2529470,403675,70931,503954
Total,Total,Total,85,,,.85 years and over,6604958,6604958,5689855,529120,294076,35381,6505,50021
Total,Total,Total,16,,,.16 years and over,263493218,263493218,203848098,34313058,16075664,3150144,616964,5489290
Total,Total,Total,18,,,.18 years and over,255200373,255200373,197763897,33083069,15623252,3021832,593515,5114808
Total,Total,Male,0,5,yes,..Under 5 years,10009207,10009207,7198417,1499357,521862,160102,29671,599798
Total,Total,Male,5,5,yes,..5 to 9 years,10322762,10322762,7432676,1547452,550386,164972,29361,597915
Total,Total,Male,10,5,yes,..10 to 14 years,10618261,10618261,7699102,1590426,564500,170237,31543,562453
Total,Total,Male,15,5,yes,..15 to 19 years,10745607,10745607,7898407,1595563,580384,165160,30065,476028
Total,Total,Male,20,5,yes,..20 to 24 years,11064752,11064752,8113485,1672322,658274,164843,30768,425060
Total,Total,Male,25,5,yes,..25 to 29 years,12004570,12004570,8723515,1890983,807951,179542,35949,366630
Total,Total,Male,30,5,yes,..30 to 34 years,11354610,11354610,8446320,1601917,827587,165359,37362,276065
Total,Total,Male,35,5,yes,..35 to 39 years,10884941,10884941,8241017,1438276,779335,154058,35542,236713
Total,Total,Male,40,5,yes,..40 to 44 years,9907139,9907139,7568184,1285453,692781,136447,29129,195145
Total,Total,Male,45,5,yes,..45 to 49 years,10085355,10085355,7809387,1276791,676325,129414,25435,168003
Total,Total,Male,50,5,yes,..50 to 54 years,10086611,10086611,7972299,1253207,573499,120871,22928,143807
Total,Total,Male,55,5,yes,..55 to 59 years,10642489,10642489,8576309,1265153,525283,117227,21073,137444
Total,Total,Male,60,5,yes,..60 to 64 years,9856730,9856730,8061864,1103863,459796,97384,17167,116656
Total,Total,Male,65,5,yes,..65 to 69 years,8199773,8199773,6831995,819133,378674,71407,12660,85904
Total,Total,Male,70,5,yes,..70 to 74 years,6499806,6499806,5530279,561780,286774,50770,9259,60944
Total,Total,Male,75,5,yes,..75 to 79 years,4318499,4318499,3711138,343743,190490,30457,5382,37289
Total,Total,Male,80,5,yes,..80 to 84 years,2679724,2679724,2307320,206090,123778,17351,3090,22095
Total,Total,Male,85,,yes,..85 years and over,2376488,2376488,2070601,161831,109926,13205,2574,18351
Total,Total,Male,0,18,,..Under 18 years,37308668,37308668,27009051,5569919,1977006,593680,108628,2050384
Total,Total,Male,0,5,,...Under 5 years,10009207,10009207,7198417,1499357,521862,160102,29671,599798
Total,Total,Male,5,9,,...5 to 13 years,18815383,18815383,13576534,2825601,1001552,301410,54634,1055652
